Date,P30:credit/compress,P30:credit/mild,P30:credit/severe,P30:interest_rate/bear_steepen,P30:interest_rate/bull_flatten,P30:liquidity/stress,P90:credit/compress,P90:credit/mild,P90:credit/severe,P90:interest_rate/bear_steepen,P90:interest_rate/bull_flatten,P90:liquidity/stress
2005-09-28,0.079484,0.095401,0.027411,0.033181,0.112363,0.037576,0.220000,0.259766,0.080000,0.096277,0.300632,0.108544
2005-09-29,0.079484,0.093899,0.027411,0.032778,0.114046,0.036966,0.220000,0.256073,0.080000,0.095147,0.304601,0.106849
2005-09-30,0.085132,0.084799,0.027411,0.032950,0.113323,0.037225,0.234271,0.233433,0.080000,0.095629,0.302898,0.107571
2005-10-03,0.089507,0.080311,0.027411,0.034276,0.108029,0.039246,0.245204,0.222102,0.080000,0.099344,0.290338,0.113179
2005-10-05,0.086904,0.082919,0.027411,0.032863,0.113688,0.037094,0.238711,0.228700,0.080000,0.095385,0.303759,0.107205
2005-10-06,0.084408,0.085593,0.027411,0.034176,0.108411,0.039093,0.232450,0.235429,0.080000,0.099065,0.291248,0.112755
2005-10-07,0.079484,0.092180,0.027411,0.034326,0.107838,0.039324,0.220000,0.251831,0.080000,0.099485,0.289882,0.113393
2005-10-11,0.079484,0.097502,0.027411,0.034474,0.107281,0.039551,0.220000,0.264913,0.080000,0.099898,0.288550,0.114021
2005-10-12,0.079484,0.106862,0.027411,0.037063,0.098366,0.043585,0.220000,0.287548,0.080000,0.107118,0.267022,0.125139
2005-10-13,0.079484,0.116270,0.027411,0.039140,0.092212,0.046899,0.220000,0.309826,0.080000,0.112884,0.251910,0.134201
2005-10-14,0.079484,0.111490,0.027411,0.037275,0.097699,0.043921,0.220000,0.298565,0.080000,0.107709,0.265395,0.126060
2005-10-17,0.079484,0.093373,0.027411,0.037390,0.097342,0.044103,0.220000,0.254777,0.080000,0.108028,0.264523,0.126559
2005-10-18,0.084125,0.085907,0.027411,0.038149,0.095048,0.045310,0.231740,0.236215,0.080000,0.110138,0.258900,0.129865
2005-10-19,0.079484,0.092647,0.027411,0.038256,0.094736,0.045480,0.220000,0.252986,0.080000,0.110432,0.258133,0.130328
2005-10-20,0.079711,0.091152,0.027411,0.036447,0.100349,0.042616,0.220577,0.249287,0.080000,0.105405,0.271848,0.122478
2005-10-21,0.079484,0.091897,0.027411,0.035346,0.104103,0.040898,0.220000,0.251132,0.080000,0.102335,0.280925,0.117745
2005-10-24,0.082102,0.088231,0.027411,0.037330,0.097528,0.044008,0.226636,0.242025,0.080000,0.107862,0.264976,0.126300
2005-10-25,0.085200,0.084725,0.027411,0.037441,0.097184,0.044184,0.234442,0.233248,0.080000,0.108171,0.264135,0.126782
2005-10-26,0.081871,0.088504,0.027411,0.038851,0.093022,0.046433,0.226054,0.242705,0.080000,0.112083,0.253912,0.132932
2005-10-27,0.079484,0.094520,0.027411,0.038291,0.094633,0.045536,0.220000,0.257603,0.080000,0.110530,0.257879,0.130482
2005-10-28,0.079484,0.095297,0.027411,0.036485,0.100224,0.042676,0.220000,0.259513,0.080000,0.105511,0.271543,0.122643
2005-10-31,0.079484,0.102130,0.027411,0.035988,0.101883,0.041897,0.220000,0.276164,0.080000,0.104124,0.275566,0.120498
2005-11-01,0.079484,0.103251,0.027411,0.035503,0.103550,0.041142,0.220000,0.278872,0.080000,0.102774,0.279592,0.118419
2005-11-02,0.079484,0.100655,0.027411,0.036852,0.099037,0.043252,0.220000,0.272591,0.080000,0.106531,0.268658,0.124225
2005-11-03,0.079484,0.091545,0.027411,0.036963,0.098682,0.043428,0.220000,0.250261,0.080000,0.106841,0.267791,0.124708
2005-11-04,0.079484,0.091545,0.027411,0.037705,0.096378,0.044602,0.220000,0.250260,0.080000,0.108903,0.262163,0.127927
2005-11-07,0.079484,0.092312,0.027411,0.037175,0.098013,0.043762,0.220000,0.252158,0.080000,0.107430,0.266160,0.125626
